codigo,nome,categoria,creditos,pre_requisitos,periodo,quantidade_vagas,dev,infra,inteligencia,dicas,sigla
1411319,Atividades Complementares Flexíveis,Complementar,22,-,-,"-,-",0,0,0,,
1411311,Fundamentos de Matemática para Ciência da Computação I,Obrigatório,4,-,1,"120, 130",0,0,5,https://github.com/OpenDevUFCG/Tamburetei/tree/master/fmcc1,FMCC1
1411167,Programação I,Obrigatório,4,-,1,"110, 120",5,0,0,https://github.com/OpenDevUFCG/Tamburetei/tree/master/prog1,P1
1411180,Laboratório de Programação I,Obrigatório,4,-,1,"140, 120",5,0,0,https://github.com/OpenDevUFCG/Tamburetei/tree/master/prog1,LP1
1411174,Introdução à Computação,Obrigatório,4,-,1,"105, 96",0,5,0,https://github.com/OpenDevUFCG/Tamburetei/tree/master/ic,IC
1411312,Fundamentos de Matemática para Ciência da Computação II,Obrigatório,4,1411311,2,"100, 100",0,0,5,https://github.com/OpenDevUFCG/Tamburetei/tree/master/fmcc2,FMCC2
1109103,Cálculo Diferencial e Integral I,Obrigatório,4,1411311,2,"20, 160",0,0,5,https://github.com/OpenDevUFCG/Tamburetei/tree/master/calculo1,CALC1
1411168,Programação II,Obrigatório,4,"1411167, 1411180",2,"95, 100",5,0,0,https://github.com/OpenDevUFCG/Tamburetei/tree/master/prog2,P2
1411181,Laboratório de Programação II,Obrigatório,4,"1411167, 1411180",2,"105, 90",5,0,0,https://github.com/OpenDevUFCG/Tamburetei/tree/master/prog2,LP2
1109049,Álgebra Linear I,Obrigatório,4,1411312,3,"70, 80",0,0,5,https://github.com/OpenDevUFCG/Tamburetei/tree/master/linear,LINEAR
1109053,Cálculo Diferencial e Integral II,Obrigatório,4,1109103,3,"80, 40",0,0,5,https://github.com/OpenDevUFCG/Tamburetei/tree/master/calculo2,CALC2
1411304,Teoria dos Grafos,Obrigatório,4,-,3,"83, 40",0,0,0,https://github.com/OpenDevUFCG/Tamburetei/tree/master/teoria_dos_grafos,TG
1411307,Lógica para Computação,Obrigatório,4,1411312,3,"55, 60",0,0,5,https://github.com/OpenDevUFCG/Tamburetei/tree/master/logica,LOG
1411305,Estrutura de Dados,Obrigatório,4,"1411168, 1411181",3,"86, 90",5,0,0,https://github.com/OpenDevUFCG/Tamburetei/tree/master/eda_leda,EDA
1411306,Laboratório de Estrutura de Dados,Obrigatório,4,"1411168, 1411181",3,"80, 90",5,0,0,https://github.com/OpenDevUFCG/Tamburetei/tree/master/eda_leda,LEDA
1114129,Introdução à Probabilidade,Obrigatório,4,"1109103, 1411312",4,"100, 50",0,0,5,https://github.com/OpenDevUFCG/Tamburetei/tree/master/probabilidade,PROB
1411308,Projeto de Software,Obrigatório,4,"1411167, 1411180",4,"80, 70",5,0,0,https://github.com/OpenDevUFCG/Tamburetei/tree/master/psoft,PSOFT
1411309,Paradigmas de Linguagens de Programação,Obrigatório,4,"1411167, 1411180",4,"83, 90",0,0,0,https://github.com/OpenDevUFCG/Tamburetei/tree/master/plp,PLP
1411193,Banco de dados I,Obrigatório,4,1411305,4,"80, 80",0,0,0,https://github.com/OpenDevUFCG/Tamburetei/tree/master/bd,BD
1411310,Organização e Arquitetura de Computadores,Obrigatório,4,1411174,4,"75, 140",0,5,0,https://github.com/OpenDevUFCG/Tamburetei/tree/master/oac,OAC
1411182,Laboratório de Organização e Arquitetura de Computadores,Obrigatório,4,1411174,4,"69, 140",0,5,0,https://github.com/OpenDevUFCG/Tamburetei/tree/master/loac,LOAC
1114222,Estatística Aplicada,Obrigatório,4,1114129,5,"45, 65",0,0,5,https://github.com/OpenDevUFCG/Tamburetei/tree/master/estatistica,ESTAT
1411313,Análise de Sistemas,Obrigatório,4,"1411167, 1411180",5,"78, 45",5,0,0,https://github.com/OpenDevUFCG/Tamburetei/tree/master/as,AS
1411314,Engenharia de Software,Obrigatório,4,"1411167, 1411180",5,"60, 60",5,0,0,https://github.com/OpenDevUFCG/Tamburetei/tree/master/es,ES
1411190,Redes de Computadores,Obrigatório,4,1411174,5,"50, 105",0,5,0,https://github.com/OpenDevUFCG/Tamburetei/tree/master/redes,REDES
1411192,Sistemas Operacionais,Obrigatório,4,"1411310, 1411182",5,"45, 70",0,5,0,https://github.com/OpenDevUFCG/Tamburetei/tree/master/so,SO
1411171,Teoria da Computação,Obrigatório,4,1411309,5,"80, 50",0,0,5,https://github.com/OpenDevUFCG/Tamburetei/tree/master/tc,TC
1305218,Metodologia Científica,Obrigatório,4,1114222,6,"50, 50",0,0,0,,METOL
1411315,Programação Concorrente,Obrigatório,4,1411192,6,"35, 45",0,5,0,,CONCO
1411316,Inteligência Artificial,Obrigatório,4,1411309,6,"48, 110",0,0,5,,IA
1411187,Análise e Técnicas de Algoritmos,Obrigatório,4,"1411305, 1411306",7,"60, 70",5,0,0,,ATAL
1411189,Compiladores,Obrigatório,4,1411309,7,"40, 80",0,0,0,,COMP
1411185,Projeto em Computação I,Obrigatório,4,1411314,8,"45, 50",5,0,0,,PROJ1
1411317,Projeto de Trabalho de Conclusão de Curso,Obrigatório,4,-,8,"20, 20",0,0,0,,PTCC1
1411348,Projeto em Computação II,Obrigatório,4,1411185,9,"45, 45",5,0,0,,PROJ2
1411318,Trabalho de Conclusão de Curso,Obrigatório,4,1411317,9,"-, -",0,0,0,,TCC
1411320,Administração de Sistemas,Optativa Específica,4,1411168,-,"-, 33",5,0,0,,
1411198,Administração de Sistemas Gerenciadores de Bancos de Dados,Optativa Específica,4,1411193,-,"-,-",5,0,0,,
1411321,Algoritmos Avançados I,Optativa Específica,4,"1411167, 1411180",-,"-, 40",5,0,0,,AA1
1411322,Algoritmos Avançados II,Optativa Específica,4,"1411167, 1411180",-,"-, 45",5,0,0,,AA2
1411323,Algoritmos Avançados III,Optativa Específica,4,"1411167, 1411180",-,"-,-",5,0,0,,AA3
1411324,Algoritmos Avançados IV,Optativa Específica,4,"1411167, 1411180",-,"-,-",5,0,0,,AA4
1411325,Arquitetura de Software,Optativa Específica,4,1411308,-,"-,-",5,0,0,,
1411197,Avaliação de Desempenho de Sistemas Discretos,Optativa Específica,4,1114129,-,"40,45",0,0,0,,
1411194,Banco de Dados II,Optativa Específica,4,1411193,-,"40, 45",5,0,0,,BD2
1411200,Computação Gráfica,Optativa Específica,4,-,-,"-,-",0,0,0,,CG
1302123,Computação e Música,Optativa Específica,4,1411305,-,"-,-",0,0,0,,
1411326,Desenvolvimento de Aplicações Corporativas Avançadas,Optativa Específica,4,"1411308, 1411305",-,"-, 45",5,0,0,,DACA
1411327,Desenvolvimento de Software Integrado à Infraestrutura,Optativa Específica,4,1411308,-,"-,-",0,5,0,,
1411328,Economia de Tecnologia da Informação,Optativa Específica,4,1114129,-,"45, 39",0,0,0,,
1411329,Empreendedorismo em Software,Optativa Específica,4,-,-,"21, 25",0,0,0,,EmpSoft
1411330,Gerência de Redes,Optativa Específica,4,1411190,-,"-, 40",0,5,0,,
1411331,Interconexão de Redes de Computadores,Optativa Específica,4,1411190,-,"40, 41",0,5,0,,IRC
1411209,Interface Homem- Máquina,Optativa Específica,4,-,-,"-, -",0,0,0,,
1411213,Otimização,Optativa Específica,4,-,-,"-, -",0,0,0,,
1411188,Métodos e Software Numéricos,Optativa Específica,4,-,-,"45, 45",0,0,0,,
1411332,Métodos Formais,Optativa Específica,4,-,-,"-,-",0,0,0,,
1411333,Prática de Ensino em Computação I,Optativa Específica,2,-,-,"40, 40",0,0,0,,DIDA1
1411334,Prática de Ensino em Computação II,Optativa Específica,2,1411333,-,"40, 40",0,0,0,,DIDA2
1411335,Princípios de Desenvolvimento Web,Optativa Específica,4,1411168,-,"-, 22",5,0,0,,
1411336,Programação em Banco de Dados,Optativa Específica,4,1411193,-,"-,-",5,0,0,,
1411217,Projeto de Redes de Computadores,Optativa Específica,4,1411190,-,"-, 45",0,5,0,,
1411337,Provisionamento e Operação de Infraestrutura,Optativa Específica,4,1411192,-,"-,-",0,5,0,,
1411338,Reconhecimento de Padrões e Redes Neurais,Optativa Específica,4,"1109049, 1411187",-,"-,-",0,0,5,,
1411339,Recuperação da Informação e Busca na Web,Optativa Específica,4,"1411193, 1411312",-,"-, 35",0,0,5,,
1411340,Segurança de Sistemas,Optativa Específica,4,"1411192, 1411190",-,"-,-",0,5,0,,
1411342,Sistemas de Apoio à Decisão,Optativa Específica,4,1411193,-,"-, 46",0,0,5,,
1411221,Sistemas de Informação Geográfica,Optativa Específica,4,-,-,"-,-",5,0,0,,
1411222,Sistemas Distribuídos,Optativa Específica,4,"1411190, 1411192",-,"-,-",0,5,0,,SD
1411343,TECC(Verificação e Validação de Software),Optativa Específica,4,1411314,-,"-, 40",5,0,0,,
1411349,TECC(PROJETO DE SISTEMAS OPERACIONAIS),Optativa Específica,4,"1411310,  1411182",-,"45,33",0,5,0,,LABSO
1411350,TECC(GESTAO DE PROJETOS),Optativa Específica,4,1411314,-,"-, 25",5,0,0,,
1411351,TECC(CIENCIA DE DADOS DESCRITIVA),Optativa Específica,4,1114129,-,"-, 35",0,0,5,,CDD
1411290,TECC(JOGOS DIGITAIS),Optativa Específica,4,-,-,"40, 40",5,0,0,,
1411302,TECC(PROGRAMACAO FUNCIONAL),Optativa Específica,4,1411309,-,"45, 45",5,0,0,,PF
1411356,TECC(CIÊNCIA DE DADOS PREDITIVA),Optativa Específica,4,1114222,-,"-, 35",0,0,5,,CDP
1411355,TECC(VISUALIZAÇÃO DE DADOS),Optativa Específica,4,1114129,-,"-, 35",0,0,5,,VISU
1411357,TECC(GOVERNANCA DA INTERNET),Optativa Específica,4,1411190,-,"-,-",0,0,0,,
1411352,TECC(PERCEPCAO COMPUTACIONAL),Optativa Específica,4,1114222",-,"-,-",0,0,5,,PERCEP
1301123,Administração e Empreendedorismo,Optativa Geral,4,-,-,"-, 50",0,0,0,,
1109035,Álgebra Vetorial e Geometria Analítica,Optativa Geral,4,-,-,"-, 5",0,0,0,,
1109128,Cálculo Diferencial e Integral III,Optativa Geral,4,"1109053, 1411312",-,"-,-",0,0,0,,
1305219,Direito e Cidadania,Optativa Geral,4,-,-,"60, 60",0,0,0,,
1303021,Economia,Optativa Geral,4,-,-,"36, 35",0,0,0,,
1108030,Física Geral I,Optativa Geral,4,-,-,"-,-",0,0,0,,FIS1
1108081,Física Geral II,Optativa Geral,4,"1108030, 1109103, 1411312",-,"-,-",0,0,0,,FIS2
1108100,Física Geral III,Optativa Geral,4,"1108081, 1109053",-,"-,-",0,0,0,,FIS3
1108105,Física Geral IV,Optativa Geral,4,"1108100, 1109128",-,"-,-",0,0,0,,FIS4
1411345,Informática e Sociedade,Optativa Geral,4,-,-,"50, 40",0,0,0,,INFOSOC
1307150,Inglês,Optativa Geral,4,-,-,"5, 5",0,0,0,,
1307332,Libras – Língua Brasileira de Sinais,Optativa Geral,4,-,-,"-, -",0,0,0,,
1307169,Língua Portuguesa,Optativa Geral,4,-,-,"95, 100",0,0,0,,LP
